"wind","wig","wet_dry","heatloss","skin_temp","resistance","clo","amb_temp","amb_rh","radiation","trial"
0.3,"Low_curve","dry","87.170731707317088","37.995853658536589","0.42022456656194573","2.7111262358835209","1.3739024390243901","47.634146341463399","off",1
0.3,"Low_curve","dry","87.951612903225822","37.997419354838712","0.41861482471930633","2.7007408046406862","1.1867741935483875","44.193548387096769","off",2
0.3,"Low_curve","dry","87.132258064516122","37.996451612903229","0.42249050040571856","2.7257451639078618","1.1887096774193546","46.958064516129028","off",3
1,"Low_curve","dry","95.691803278688553","34.003114754098362","0.26083708546437739","1.6828199062217897","9.0475409836065559","43.462295081967198","off",1
1,"Low_curve","dry","92.059999999999988","33.998833333333337","0.26964839149413966","1.7396670418976752","9.1773333333333351","44.064999999999991","off",2
1,"Low_curve","dry","93.023809523809518","33.995500000000007","0.26873155944760602","1.7337519964361678","9","43.109523809523807","off",3
2.5,"Low_curve","dry","158.65573770491801","34.002786885245904","0.1593331240424565","1.0279556389835904","8.7262295081967203","43.606557377049185","off",1
2.5,"Low_curve","dry","145.30500000000001","34.007999999999996","0.17271072769372794","1.1142627593143739","8.9151666666666642","43.238333333333337","off",2
2.5,"Low_curve","dry","144.43934426229512","34.001475409836068","0.17552124087903936","1.1323951024454153","8.6504918032786868","42.509836065573772","off",3
0.3,"Mid_curve","dry","77.058536585365857","37.996585365853662","0.47678749321208796","3.0760483433037935","1.2599999999999998","48.253658536585384","off",1
0.3,"Mid_curve","dry","86.363414634146338","38.006829268292684","0.42797555624438438","2.7611326209315123","1.051219512195122","44.190243902439036","off",2
0.3,"Mid_curve","dry","84.895238095238099","37.998571428571431","0.43375715318422858","2.798433246349862","1.1804761904761905","50.604761904761915","off",3
1,"Mid_curve","dry","91.481666666666655","33.997666666666667","0.27152285190119085","1.7517603348463926","9.1688333333333336","42.850000000000009","off",1
1,"Mid_curve","dry","87.115686274509798","33.998039215686276","0.28602301402562574","1.845309767907263","9.083921568627451","44.186274509803923","off",2
1,"Mid_curve","dry","85.403225806451601","33.998387096774195","0.29492754888573708","1.9027583799079812","8.8151612903225818","43.987096774193553","off",3
2.5,"Mid_curve","dry","160.31408450704222","34.013571428571439","0.15736274157580632","1.0152434940374602","8.7976056338028172","42.314084507042246","off",1
2.5,"Mid_curve","dry","150.95098039215691","34.007647058823522","0.16639503095118177","1.0735163287173017","8.8972549019607836","43.358823529411787","off",2
2.5,"Mid_curve","dry","145.68823529411767","34.000980392156862","0.17371301433286121","1.1207291247281368","8.6956862745098036","43.450980392156865","off",3
0.3,"High_curve","dry","98.107843137254903","37.999019607843138","0.37478491328092511","2.4179671824575815","1.2319607843137259","48.552941176470576","off",1
0.3,"High_curve","dry","114.88048780487799","38.002439024390242","0.32218997073009936","2.078644972452254","0.99219512195121928","44.231707317073187","off",2
